,Date,ACCESS-CM2_ssp126,ACCESS-CM2_ssp245,ACCESS-CM2_ssp370,ACCESS-CM2_ssp585,CNRM-CM6-1_ssp126,CNRM-CM6-1_ssp245,CNRM-CM6-1_ssp370,CNRM-CM6-1_ssp585,INM-CM4-8_ssp126,INM-CM4-8_ssp245,INM-CM4-8_ssp370,INM-CM4-8_ssp585,INM-CM5-0_ssp126,INM-CM5-0_ssp245,INM-CM5-0_ssp370,INM-CM5-0_ssp585,MIROC6_ssp126,MIROC6_ssp245,MIROC6_ssp370,MIROC6_ssp585,MIROC-ES2L_ssp126,MIROC-ES2L_ssp245,MIROC-ES2L_ssp370,MIROC-ES2L_ssp585,MPI-ESM1-2-LR_ssp126,MPI-ESM1-2-LR_ssp245,MPI-ESM1-2-LR_ssp370,MPI-ESM1-2-LR_ssp585,MRI-ESM2-0_ssp126,MRI-ESM2-0_ssp245,MRI-ESM2-0_ssp370,MRI-ESM2-0_ssp585,NorESM2-MM_ssp126,NorESM2-MM_ssp245,NorESM2-MM_ssp370,NorESM2-MM_ssp585
4441,2064-06-02,1467.3132029586304,753.5382516037646,511.7864693288194,285.6007102840237,0.0,138.7824577595783,500.67824325299244,61.229762847856406,93.73550695070739,1534.1086679523498,516.7960672921345,1449.2971773617226,4909.516678158959,233.69800797514614,614.1983293752915,777.5244336068853,0.0,552.9288427075174,1276.927776928273,1015.3899903982425,860.883422053729,357.1278942722252,1801.2460512236244,3819.9801738732976,179.35490528574556,707.8727194297692,710.5583829482521,294.0890831134226,0.0,1458.3855959241264,743.9454785092503,38.89760132417541,2333.1230495897516,295.4998445708437,25.20054527159739,566.7029942372246
4442,2064-06-09,1467.3132029586304,753.5382516037646,511.7864693288194,285.6007102840237,0.0,138.7824577595783,500.67824325299244,61.229762847856406,93.73550695070739,1534.1086679523498,516.7960672921345,1449.2971773617226,4909.516678158959,233.69800797514614,614.1983293752915,777.5244336068853,0.0,552.9288427075174,1276.927776928273,1015.3899903982425,860.883422053729,357.1278942722252,1801.2460512236244,3819.9801738732976,179.35490528574556,707.8727194297692,710.5583829482521,294.0890831134226,0.0,1458.3855959241264,743.9454785092503,38.89760132417541,2333.1230495897516,295.4998445708437,25.20054527159739,566.7029942372246
4443,2064-06-16,1467.3132029586304,753.5382516037646,511.7864693288194,285.6007102840237,0.0,138.7824577595783,500.67824325299244,61.229762847856406,93.73550695070739,1534.1086679523498,516.7960672921345,1449.2971773617226,4909.516678158959,233.69800797514614,614.1983293752915,777.5244336068853,0.0,552.9288427075174,1276.927776928273,1015.3899903982425,860.883422053729,357.1278942722252,1801.2460512236244,3819.9801738732976,179.35490528574556,707.8727194297692,710.5583829482521,294.0890831134226,0.0,1458.3855959241264,743.9454785092503,38.89760132417541,2333.1230495897516,295.4998445708437,25.20054527159739,566.7029942372246
4444,2064-06-23,1467.3132029586304,753.5382516037646,511.7864693288194,285.6007102840237,0.0,138.7824577595783,500.67824325299244,61.229762847856406,93.73550695070739,1534.1086679523498,516.7960672921345,1449.2971773617226,4909.516678158959,233.69800797514614,614.1983293752915,777.5244336068853,0.0,552.9288427075174,1276.927776928273,1015.3899903982425,860.883422053729,357.1278942722252,1801.2460512236244,3819.9801738732976,179.35490528574556,707.8727194297692,710.5583829482521,294.0890831134226,0.0,1458.3855959241264,743.9454785092503,38.89760132417541,2333.1230495897516,295.4998445708437,25.20054527159739,566.7029942372246
4445,2064-06-30,1467.3132029586304,753.5382516037646,511.7864693288194,285.6007102840237,0.0,138.7824577595783,500.67824325299244,61.229762847856406,93.73550695070739,1534.1086679523498,516.7960672921345,1449.2971773617226,4909.516678158959,233.69800797514614,614.1983293752915,777.5244336068853,0.0,552.9288427075174,1276.927776928273,1015.3899903982425,860.883422053729,357.1278942722252,1801.2460512236244,3819.9801738732976,179.35490528574556,707.8727194297692,710.5583829482521,294.0890831134226,0.0,1458.3855959241264,743.9454785092503,38.89760132417541,2333.1230495897516,295.4998445708437,25.20054527159739,566.7029942372246
4446,2064-07-07,1316.1154687300364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2445.742047895648,0.0,707.2284458690008,0.0,0.0,1587.0661656779935,694.974852164907,1151.4971112428357,1051.9047529408645,0.0,0.0,0.0,2092.4653585641463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,917.159590166655,327.6270277988335,0.0
4447,2064-07-14,1316.1154687300364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2445.742047895648,0.0,707.2284458690008,0.0,0.0,1587.0661656779935,694.974852164907,1151.4971112428357,1051.9047529408645,0.0,0.0,0.0,2092.4653585641463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,917.159590166655,327.6270277988335,0.0
4448,2064-07-21,1316.1154687300364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2445.742047895648,0.0,707.2284458690008,0.0,0.0,1587.0661656779935,694.974852164907,1151.4971112428357,1051.9047529408645,0.0,0.0,0.0,2092.4653585641463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,917.159590166655,327.6270277988335,0.0
4449,2064-07-28,1316.1154687300364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2445.742047895648,0.0,707.2284458690008,0.0,0.0,1587.0661656779935,694.974852164907,1151.4971112428357,1051.9047529408645,0.0,0.0,0.0,2092.4653585641463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,917.159590166655,327.6270277988335,0.0
4450,2064-08-04,0.0,0.0,0.0,0.0,650.4953949340542,152.49165686497753,507.9755819308342,1.5602587397817147,2352.9634688912856,0.0,1294.170557897928,0.0,0.0,0.0,1752.8162693186828,0.0,1515.3621127289487,0.0,0.0,471.6849105433479,0.0,0.0,1873.3917606204254,3221.897810508516,0.0,0.0,0.0,684.4982739964908,0.0,0.0,0.0,1.90392259648108,0.0,516.5842660022257,0.0,0.0
4451,2064-08-11,0.0,0.0,0.0,0.0,650.4953949340542,152.49165686497753,507.9755819308342,1.5602587397817147,2352.9634688912856,0.0,1294.170557897928,0.0,0.0,0.0,1752.8162693186828,0.0,1515.3621127289487,0.0,0.0,471.6849105433479,0.0,0.0,1873.3917606204254,3221.897810508516,0.0,0.0,0.0,684.4982739964908,0.0,0.0,0.0,1.90392259648108,0.0,516.5842660022257,0.0,0.0
4452,2064-08-18,0.0,0.0,0.0,0.0,650.4953949340542,152.49165686497753,507.9755819308342,1.5602587397817147,2352.9634688912856,0.0,1294.170557897928,0.0,0.0,0.0,1752.8162693186828,0.0,1515.3621127289487,0.0,0.0,471.6849105433479,0.0,0.0,1873.3917606204254,3221.897810508516,0.0,0.0,0.0,684.4982739964908,0.0,0.0,0.0,1.90392259648108,0.0,516.5842660022257,0.0,0.0
4453,2064-08-25,0.0,0.0,0.0,0.0,650.4953949340542,152.49165686497753,507.9755819308342,1.5602587397817147,2352.9634688912856,0.0,1294.170557897928,0.0,0.0,0.0,1752.8162693186828,0.0,1515.3621127289487,0.0,0.0,471.6849105433479,0.0,0.0,1873.3917606204254,3221.897810508516,0.0,0.0,0.0,684.4982739964908,0.0,0.0,0.0,1.90392259648108,0.0,516.5842660022257,0.0,0.0
4454,2064-09-01,0.0,0.0,0.0,0.0,798.0416373348171,114.90992728052713,0.0,73.27770978489913,0.0,1378.075377445984,3312.266436194414,0.0,0.0,3477.925774035072,0.0,1684.937115404872,1816.8244185070216,1519.0028870374094,0.0,1018.8448701539261,0.0,0.0,0.0,4015.7957987274895,2760.322483974111,1308.250552252091,1292.0999186864924,1683.8929703094432,0.0,0.0,286.43094007924566,244.53068160443246,1948.8980847674823,0.0,0.0,907.6142391068224
4455,2064-09-08,0.0,0.0,0.0,0.0,798.0416373348171,114.90992728052713,0.0,73.27770978489913,0.0,1378.075377445984,3312.266436194414,0.0,0.0,3477.925774035072,0.0,1684.937115404872,1816.8244185070216,1519.0028870374094,0.0,1018.8448701539261,0.0,0.0,0.0,4015.7957987274895,2760.322483974111,1308.250552252091,1292.0999186864924,1683.8929703094432,0.0,0.0,286.43094007924566,244.53068160443246,1948.8980847674823,0.0,0.0,907.6142391068224
4456,2064-09-15,0.0,0.0,0.0,0.0,798.0416373348171,114.90992728052713,0.0,73.27770978489913,0.0,1378.075377445984,3312.266436194414,0.0,0.0,3477.925774035072,0.0,1684.937115404872,1816.8244185070216,1519.0028870374094,0.0,1018.8448701539261,0.0,0.0,0.0,4015.7957987274895,2760.322483974111,1308.250552252091,1292.0999186864924,1683.8929703094432,0.0,0.0,286.43094007924566,244.53068160443246,1948.8980847674823,0.0,0.0,907.6142391068224
